id	baseMean	log2FoldChange	pvalue	padj	Direction
ENSMUSG00000101589(Rbm6-ps1)	2.5385701249996	0.444607048799854	0.807402049886372	NA	No
ENSMUSG00000042807(Hecw2)	1.48709654692572	3.84365751634783	0.15436912506142	NA	No
ENSMUSG00000041303(Gtf3c3)	4.40877149663186	1.04841165699917	0.460602164589055	NA	No
ENSMUSG00000049690(Nckap5)	2.58034875448142	4.63684571966235	0.0401037557582427	NA	Up
ENSMUSG00000100720(Gm10075)	0.500934411983699	-2.69297467807815	0.553154603701875	NA	No
ENSMUSG00000073678(Pgap1)	1.81122571502951	0.45059542248617	0.840304154511305	NA	No
ENSMUSG00000101130(Gm19637)	0.427272449871758	2.04347488845133	0.64426145040443	NA	No
ENSMUSG00000036155(Mgat5)	1.51217413844737	-1.29722667846091	0.600258657237601	NA	No
ENSMUSG00000099471(Gm8451)	605.76562335475	-1.02333664208112	2.18630861318777e-09	9.15844110060286e-08	Down
ENSMUSG00000026510(Trp53bp2)	3.45740608435878	-0.486060233563477	0.784770982153686	NA	No
ENSMUSG00000026349(Ccnt2)	13.6935270025026	0.968315210553498	0.246131890901177	NA	No
ENSMUSG00000052331(Ankrd44)	2.02145906941116	1.53271935472326	0.486128464478781	NA	No
ENSMUSG00000026234(Ncl)	522.331640342065	0.595750945491807	0.00183241710061105	0.0135352900683801	No
ENSMUSG00000026509(Capn2)	18.1896394005301	0.0212964155998612	0.975795181943087	0.985595877145241	No
ENSMUSG00000041859(Mcm3)	25.1003327154553	0.427117858000698	0.480076391174503	0.672340102672799	No
ENSMUSG00000025982(Sf3b1)	202.425797530521	0.760163721078131	0.00203371258654679	0.0148402320831547	No
ENSMUSG00000026238(Ptma)	324.022031132192	-0.231905198476357	0.259614165546808	0.463573611765759	No
ENSMUSG00000025931(Paqr8)	3.78749677575926	1.4139587353724	0.387788813771049	NA	No
ENSMUSG00000026239(Pde6d)	55.4369261845722	-1.44621705086858	0.000680732311039037	0.00597550067420778	Down
ENSMUSG00000025981(Coq10b)	3.81305733915098	-1.40115899833332	0.361409406988685	NA	No
ENSMUSG00000041779(Tram2)	0.665979757683939	2.6789446445288	0.506525808085872	NA	No
ENSMUSG00000036104(Rab3gap1)	6.62560144921106	0.760031392450597	0.52695423636095	NA	No
ENSMUSG00000025933(Tmem14a)	12.6436372541724	-1.01600896352162	0.313351591895054	NA	No
ENSMUSG00000026240(Cops7b)	33.9771711887782	-0.117229920330588	0.825032617178601	0.903667224422433	No
ENSMUSG00000070565(Rasal2)	8.76847565080337	1.10848481443543	0.273540784726704	NA	No
ENSMUSG00000025980(Hspd1)	300.342312183496	0.539269367155932	0.0154886122393524	0.0692716497447833	No
ENSMUSG00000073676(Hspe1)	111.588997531249	-0.575160262099014	0.0570049127493473	0.172860590113007	No
ENSMUSG00000036086(Zranb3)	0.427272449871758	2.04347488845133	0.64426145040443	NA	No
ENSMUSG00000058603(Rpl28-ps1)	531.812117446771	-1.14442422858554	2.44214539673078e-10	1.23643066412038e-08	Down
ENSMUSG00000025979(Mob4)	94.4023176334368	0.832403027004658	0.0125774868093406	0.0601982609204299	No
ENSMUSG00000053333(Dis3l2)	10.3263207698022	0.212984813780847	0.81495536714624	NA	No
ENSMUSG00000046994(Mars2)	6.46857141113059	-1.28496120236374	0.301543147414117	NA	No
ENSMUSG00000028033(Kcnq5)	15.0140464431472	-0.532534365185421	0.487669801117094	NA	No
ENSMUSG00000082935(Gm7658)	112.160939993535	0.612254932323037	0.0473379266275707	0.152248397331182	No
ENSMUSG00000100215(Gm8292)	501.880956790726	-0.809900162906935	7.92853443348501e-06	0.000130064278607323	No
ENSMUSG00000056211(R3hdm1)	68.9274872523169	0.9309647941589	0.0155182940762519	0.0693322535756037	No
ENSMUSG00000026353(Ubxn4)	38.3034886549333	0.458093884961835	0.348906098964072	0.556230865485008	No
ENSMUSG00000036480(Prss56)	0.443986505122626	2.09383418373736	0.660874097039797	NA	No
ENSMUSG00000026589(Sec16b)	1.51217413844737	-1.29722667846091	0.600258657237601	NA	No
ENSMUSG00000026355(Mcm6)	53.0664630233757	0.343085010718857	0.433230813725986	0.633342189589894	No
ENSMUSG00000026356(Dars1)	103.36856872191	1.12923485282207	0.000840225887583038	0.00712286166633511	Up
ENSMUSG00000100078(Gm6170)	399.443626865977	0.0963514058456959	0.612807440252126	0.771996023084168	No
ENSMUSG00000089648(Gm15790)	2.59312903617728	0.977471857063248	0.591565369594389	NA	No
ENSMUSG00000094122(Rpl31-ps9)	20.4480605317405	-1.48494254078295	0.0301437335682399	0.110638571200935	Down
ENSMUSG00000102606(Rpl21-ps1)	86.7207124108626	-0.606016897348864	0.0793837875998031	0.215127061225696	No
ENSMUSG00000103314(Gm38358)	19.0620534822597	-0.413942062133201	0.549031541980714	0.728763918293116	No
ENSMUSG00000039377(Hlx)	4.487387615815	0.71635120283384	0.603118711962688	NA	No
ENSMUSG00000026254(Eif4e2)	231.443441732978	-0.0911738115771348	0.690566084122003	0.819225235869823	No
ENSMUSG00000026158(Ogfrl1)	0.455746403302295	-0.369808278340075	0.933380741856639	NA	No
ENSMUSG00000073481(Mtarc2)	0.883018853174053	1.2095163032414	0.699330103536712	NA	No
ENSMUSG00000026155(Smap1)	16.2882268511329	-0.0392405781017407	0.959632370111696	0.978993573876114	No
ENSMUSG00000061992(Gm4953)	3.37402499109955	-1.56049108811732	0.331055942778724	NA	No
ENSMUSG00000040782(Cop1)	15.1145985289459	1.11475922988407	0.162777124464616	NA	No
ENSMUSG00000039318(Rab3gap2)	1.48709654692572	3.84365751634783	0.15436912506142	NA	No
ENSMUSG00000026153(Fam135a)	7.45186157851915	0.831597223502249	0.466063994038875	NA	No
ENSMUSG00000015829(Tnr)	1.73858413643376	-0.0285995586734105	0.989384882556893	NA	No
ENSMUSG00000026618(Iars2)	2.78903733099145	0.137804038858682	0.937185877907085	NA	No
ENSMUSG00000026725(Tnn)	0.944920917106325	-0.221722262309643	0.945084252562636	NA	No
ENSMUSG00000058267(Mrps14)	81.9468944545054	-0.865731360155167	0.012405621207878	0.0595747038563797	No
ENSMUSG00000051223(Bzw1)	122.632326970808	1.17639958982402	0.000118323330346464	0.00142054098834945	Up
ENSMUSG00000026615(Eprs1)	97.6481608031188	0.36823966598407	0.25067041640141	0.454975274363709	No
ENSMUSG00000048000(Gigyf2)	27.0708054013021	1.02787258884848	0.0981625642914533	0.244723144619876	No
ENSMUSG00000026034(Clk1)	23.0501974923278	1.11014011713732	0.0804867455028192	0.216627760829577	No
ENSMUSG00000026721(Rabgap1l)	4.85120020659217	2.20564422446595	0.142875218166317	NA	No
