Species	Au_1	Au_2	Au_3	Au_4	Au_5	Au_6	HC_De_1	HC_De_2	HC_De_3	HC_Sp_1	HC_Sp_2	HC_Sp_3	HLB_De_1	HLB_De_2	HLB_De_3	HLB_Sp_1	HLB_Sp_2	HLB_Sp_3	sus_HLB_1	sus_HLB_2	sus_HLB_3	sus_HLB_4	sus_HLB_5	sus_HLB_6
Burkholderia lata	34.388	56.054	8.375	13	41.75	48.831	31.897	17.899	24.415	13	6	16.81	29.838	7	20.972	33.803	7	36.532	0	0	2	7.81	4	3
Burkholderia lata	6.612	7.946	13.625	0	49.25	2.169	1.103	7.101	4.585	3	0	2.19	6.162	1	1.028	2.197	1	15.468	0	0	1	2.19	0	2
Burkholderia lata	25.666	43.844	12	12	48.618	50.897	31	29.548	22.696	12.698	2.59	25	20.591	16.682	37.958	47.676	15.901	34.655	5	0	0	10.824	3	2.557
Burkholderia lata	50.694	131.083	19.825	32	121.699	97.388	71.086	46.585	65.783	14.809	11.26	50.437	57.296	30.889	58.644	62.345	27.725	70.042	1	3	2	8	4	3.802
Burkholderia lata	2.355	8	3.421	2.72	43.811	3	0	4	3.153	2.155	1.464	3	1	1.048	1.01	2	3	9	2	2.06	2.24	2.72	5.102	5.243
Burkholderia lata	5	16	3	7	18	16	6	6	9	1	1	1	1	3	1	6	3	17	0	0	0	0	0	1
Shigella boydii	46	34	94	33	56	41	28	23.436	21	33	30	17	24	15	18.359	48.827	18.913	17.275	23	11	28	38.581	17	27
Rhodospirillum rubrum	1	1	0	5	1	2	3	1	16	6	13	9	10	3	12	13	18	7	0	0	0	0	0	0
Rhodospirillum rubrum	0	1	0	1	0	1	6	4	7	3	3	6	2	8	3	5	1	1	0	0	0	0	0	0
Rhodospirillum rubrum	0	3	1	0	1	0	5	5	4	2	9	7	4	3	1	0	2	5	0	0	0	0	0	0
Erythrobacter litoralis	0	0	2	0	0	2	0	0	0	0	0	18	0	1	0	0	0	0	0	0	0	0	0	0
Aster yellows witches'-broom phytoplasma	2.039	5.111	9.243	2.025	7.254	3.06	2.027	0	2.022	2.016	6.024	3.024	1.014	1.011	1.008	5.042	8.215	2.009	1.024	0	0	1.016	2.026	0
Rhizobium etli	5.454	1	6.381	4.62	4.663	8.355	2.113	6.648	2	9.423	5.299	5	9.022	4.557	3.964	13.5	6.569	9	12.798	8	7	14.353	3	41.672
Rhizobium etli	1	6	5	2	3	3	0	1	2	7	6	1	3	1	2	10	2	3	7	1	4	63	8	32.296
Rhizobium etli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	10	3	7
Rhizobium etli	0	0	1	1	2	0	1	0	0	2	0	0	0	0	0	0	2	4	1	2	0	14	2	8
Rhizobium etli	1	0	0	2	4	0	0	1	0	1	1	0	1	0	0	0	2	3	2	1	3	26	5	17
Rhizobium etli	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	14	3	8
Staphylococcus aureus	62	77	150	70	98	118	20	13	21	43	70	20	14	9	17	17	22	13	5	4	5	6	4	10
Sphingomonas agrestis	1	7	8	4	4	0	0	1	0	2	1	0	0	0	0	1	0	1	1	0	0	5	2	1
Ostertagia ostertagi	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	5	0
Paraburkholderia xenovorans	9	5	1	0	1	3	0	1	3	0	0	1	4	1	0	8	0	10	0	0	0	0	1	0
Paraburkholderia xenovorans	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
Paraburkholderia xenovorans	3	9	0	4.901	4	1	0	4	7.963	10	4	12.428	2	2	9	8.477	4	4.848	0	0	0	0	0	0
Rhodopseudomonas palustris	0	0	0	0	0	0	1	0	1	1	8	3	4	1	9	8	6	2	0	0	0	0	0	0
Nitrobacter hamburgensis	4	5	0	4	4	12	3	2	3	3	5	7	4	3	5	0	9	0	0	1	1	3	0	1
Nitrobacter hamburgensis	4	7	3	3	0	8	2	2	1	6	0	5	3	3	3	3	6	2	2	1	1	5	0	6
Nitrobacter hamburgensis	1	1	1	2	2	5	1	4	3	1	1	0	0	2	0	0	1	1	0	0	1	4	0	5
Nitrobacter hamburgensis	2	8	1	1	2	2	14	10.067	18	13	5	17	8	10.643	15	15.69	5	7	0	0	0	0	0	0
Nitrobacter hamburgensis	1	5	4	0	1	5	5	4	8	5	8	7	5	5	9	11	3	6	0	0	0	0	0	0
Nitrobacter hamburgensis	3	2	6	3	5	7	18	8.9	55.874	29	26	32	19	6.357	33	30	18	19	0	0	0	0	0	0
Nitrobacter hamburgensis	0	0	0	1	0	1	8	1.033	8.126	5	4	9	3	1	2	7.31	2	3	0	0	0	0	0	0
Pseudomonas sp. Q37-87	0	1	0	0	0	0	1	0	0	12	0	1	0	0	4	7	0	19	1	0	0	0	0	1
Cupriavidus metallidurans	4	5	4	3	6	3	1	2	0	2.712	0	3	7	7	0	0	1	5	0	8.924	1	6	25.773	11.414
Cupriavidus metallidurans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	2	4	2.217
Cupriavidus metallidurans	5.557	2	3.881	0	0	2	0	1.5	0.5	1	2	0	6.926	0	0	0	0	3.82	1	2	2	4.864	12	7.695
Cupriavidus metallidurans	1	7	7.366	50	4	3	4	1	1	11	3	3	1	1	0	1	3	5	1	0	3	3	0	0
Cupriavidus metallidurans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	4
